fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
43987.0;0.5;0.09;43892.0;0.049;17;99.0;0.9937;23071.0;0.63;13.0;5.0
43988.0;0.5;0.01;43952.0;0.06;17;26.0;;43924.0;0.58;44052.0;6.0
44081.0;01. Apr;0.05;43863.0;0.084;13;29.0;0.9959;44621.0;0.55;44083.0;6.0
43929.0;0.745;0.11;44075.0;0.09;16;63.0;0.9965;43525.0;0.82;43991.0;5.0
43898.0;0.715;;44044.0;;10;52.0;0.9968;44986.0;0.77;43960.0;5.0
43868.0;0.415;0.36;2.0;0.081;13;45.0;0.9972;;;43870.0;5.0
44050.0;0.56;0.19;43832.0;0.081;15;;0.9962;12114.0;0.54;43960.0;5.0
44050.0;0.56;0.19;2.0;0.081;17;108.0;;11749.0;0.54;43960.0;5.0
43929.0;0.745;0.11;44075.0;0.09;16;63.0;0.9965;43525.0;0.82;43991.0;5.0
43898.0;0.715;0.15;44044.0;0.08900000000000001;10;52.0;0.9968;44986.0;0.77;43960.0;5.0
43866.0;0.34;0.0;44044.0;0.05;27;63.0;0.9916;24898.0;0.79;14.0;6.0
43896.0;0.39;0.08;44013.0;0.066;3;20.0;0.9954;12479.0;0.58;43930.0;5.0
43866.0;0.34;0.0;44044.0;0.05;27;63.0;0.9916;24898.0;0.79;14.0;
43838.0;0.67;0.55;44044.0;0.11699999999999999;32;141.0;0.9968;42795.0;0.62;43930.0;5.0
44048.0;0.68;0.02;44044.0;0.087;21;94.0;0.9944;19784.0;0.52;10.0;5.0
43989.0;0.49;;43983.0;0.23600000000000002;10;88.0;0.9968;;0.8;43899.0;5.0
44080.0;0.49;0.1;43892.0;0.07400000000000001;12;30.0;0.9959;15401.0;0.58;43871.0;6.0
43869.0;0.4;0.44;44045.0;0.08900000000000001;11;43.0;0.9975;19419.0;0.61;;6.0
43897.0;0.33;0.47;43832.0;0.077;5;11.0;0.9958;12114.0;0.53;43900.0;6.0
43870.0;0.52;1.0;43924.0;0.61;32;69.0;0.9996;27061.0;2;43930.0;4.0
43958.0;0.6;0.03;44044.0;0.095;25;99.0;0.995;12844.0;0.54;43840.0;5.0
43958.0;0.6;0.03;44044.0;;25;;0.995;;0.54;43840.0;5.0
43837.0;0.43;0.42;43956.0;0.07;29;129.0;0.9973;15401.0;0.72;43961.0;5.0
;0.43;0.42;43956.0;0.071;28;128.0;0.9973;15401.0;0.71;43961.0;5.0
43837.0;0.43;0.42;43956.0;0.07;29;129.0;0.9973;;0.72;43961.0;5.0
43837.0;0.43;0.42;;0.071;28;128.0;0.9973;15401.0;0.71;43961.0;5.0
43837.0;0.68;0.0;43863.0;0.073;missing;22.0;0.9969;17593.0;0.5;43899.0;5.0
44049.0;0.6;0.18;44075.0;0.079;18;86.0;0.9968;21610.0;0.57;43899.0;6.0
43989.0;0.95;0.03;2.0;0.09;7;20.0;0.9959;43864.0;0.56;43991.0;5.0
43989.0;0.68;0.02;43891.0;0.07200000000000001;9;20.0;0.9965;42795.0;01. Aug;43870.0;4.0
44050.0;0.53;0.04;44013.0;0.076;17;31.0;0.9964;12114.0;0.56;10.0;6.0
43928.0;0.6;0.26;43897.0;0.07;36;121.0;0.9982;13575.0;0.49;43930.0;5.0
43897.0;0.59;0.26;43868.0;;35;121.0;0.9981;13575.0;0.49;43930.0;5.0
44050.0;0.63;0.48;44013.0;0.1;14;96.0;0.9961;43525.0;0.62;43960.0;5.0
44049.0;0.64;0.1;43832.0;0.085;18;101.0;0.9956;12479.0;0.52;43871.0;5.0
43897.0;0.55;0.03;43983.0;0.07200000000000001;17;42.0;0.9956;13575.0;0.48;9.0;4.0
44049.0;0.63;0.07;43832.0;0.08900000000000001;11;44.0;;17227.0;0.55;43931.0;6.0
43958.0;0.705;0.24;;0.36;;63.0;0.9964;3.0;Jan 59;43960.0;5.0
44081.0;0.885;0.03;44044.0;0.057999999999999996;4;8.0;0.9972;13210.0;0.33;43839.0;4.0
8.0;;0.17;2.0;0.073;6;18.0;0.9972;47178.0;0.61;43870.0;6.0
8.0;0.42;0.17;2.0;0.073;6;18.0;0.9972;47178.0;0.61;43870.0;6.0
43928.0;0.62;0.05;44075.0;0.068;24;42.0;0.9961;15401.0;0.57;43962.0;6.0
43897.0;0.38;0.21;2.0;0.08;7;35.0;0.9961;12114.0;0.47;43960.0;5.0
44080.0;0.5;0.04;43952.0;0.085;19;49.0;0.9958;12844.0;0.78;43960.0;5.0
43897.0;0.38;0.21;2.0;;7;35.0;0.9961;12114.0;0.47;43960.0;5.0
43958.0;0.52;0.42;43892.0;0.087;8;38.0;0.9972;21245.0;0.61;43961.0;6.0
7.0;0.805;0.0;43953.0;0.068;7;20.0;;17593.0;0.56;43991.0;5.0
44051.0;0.61;0.14;43923.0;;10;;0.9969;43525.0;0.59;43960.0;5.0
44051.0;0.61;0.14;43923.0;;10;42.0;0.9969;43525.0;0.59;43960.0;5.0
44082.0;0.61;0.49;2.0;0.27;23;110.0;0.9972;44168.0;01. Feb;43899.0;5.0
43868.0;0.73;0.02;43953.0;0.076;16;42.0;0.9972;16132.0;0.52;43899.0;5.0
44049.0;0.61;0.2;44044.0;0.077;11;65.0;0.9971;;0.58;43899.0;5.0
44018.0;0.62;0.21;44075.0;;8;62.0;0.997;19054.0;0.58;43899.0;6.0
44082.0;0.31;0.57;2.0;0.111;26;85.0;0.9971;46082.0;0.53;44021.0;5.0
43928.0;0.39;0.48;2.0;0.08199999999999999;14;67.0;0.9972;12479.0;0.55;43870.0;5.0
44019.0;0.705;0.1;43984.0;0.084;9;26.0;0.9976;14305.0;0.49;44021.0;5.0
44081.0;0.5;0.33;2.0;0.084;15;143.0;0.9968;43864.0;0.55;43960.0;5.0
;0.49;0.32;44075.0;0.08199999999999999;17;144.0;0.9968;43864.0;0.55;43960.0;5.0
43869.0;0.5;0.35;44076.0;;missing;127.0;0.9976;44986.0;0.62;43930.0;5.0
43927.0;0.37;0.25;44075.0;0.07400000000000001;;49.0;0.9974;20880.0;0.62;44052.0;6.0
44049.0;0.63;0.12;44046.0;0.099;16;126.0;0.9969;46813.0;0.61;43960.0;5.0
43989.0;0.55;0.21;43863.0;0.071;7;28.0;0.9964;46813.0;0.55;;5.0
43989.0;0.55;0.21;43863.0;0.071;7;28.0;0.9964;46813.0;0.55;44021.0;5.0
44050.0;0.59;0.33;2.0;0.07400000000000001;24;120.0;0.9968;45717.0;0.54;43930.0;5.0
43897.0;0.58;0.3;43923.0;0.07400000000000001;15;55.0;0.9968;16862.0;0.59;43871.0;5.0
43962.0;0.3;0.6;2.0;0.067;;27.0;0.9981;44138.0;0.97;43840.0;6.0
43926.0;0.835;0.08;43862.0;0.046;13;93.0;0.9924;20880.0;;13.0;7.0
44080.0;01. Sep;0.06;43832.0;0.061;12;31.0;0.9948;18688.0;0.43;43932.0;4.0
43991.0;0.32;0.47;43922.0;0.055999999999999994;9;24.0;0.99695;44621.0;0.82;43900.0;
44051.0;0.37;0.48;43832.0;0.09699999999999999;39;145.0;0.9975;43924.0;;43899.0;5.0
44049.0;0.5;0.11;43952.0;0.075;16;49.0;0.99545;13210.0;0.79;43960.0;5.0
7.0;0.42;0.35;43983.0;0.08800000000000001;16;39.0;0.9961;12479.0;0.55;43870.0;5.0
7.0;0.43;0.36;;0.08900000000000001;14;37.0;0.99615;;0.56;43870.0;6.0
44055.0;0.3;0.74;43984.0;0.095;9;28.0;0.9994;43864.0;0.77;44053.0;7.0
44055.0;0.3;0.74;43984.0;0.095;;28.0;0.9994;43864.0;0.77;44053.0;7.0
44050.0;0.57;0.31;44044.0;0.069;26;120.0;0.99625;47178.0;;43899.0;5.0
44050.0;0.44;0.28;44014.0;0.1;18;;0.9966;44621.0;0.67;43930.0;5.0
11.0;0.3;0.58;43832.0;0.054000000000000006;7;19.0;0.998;11383.0;0.88;43961.0;7.0
44021.0;0.53;0.6;2.0;0.039;5;19.0;;43893.0;0.86;43933.0;6.0
8.0;0.725;0.24;44045.0;0.083;10;62.0;0.99685;12844.0;0.56;10.0;6.0
43993.0;0.44;0.64;43832.0;0.059000000000000004;;;;44256.0;0.67;43871.0;6.0
43869.0;0.57;0.26;43863.0;0.06;28;65.0;0.9959;43893.0;0.43;43840.0;5.0
44050.0;0.735;0.08;43923.0;0.092;10;41.0;0.9974;45352.0;0.71;44052.0;6.0
7.0;0.49;0.49;43987.0;0.06;26;121.0;0.9974;;0.76;43961.0;5.0
44020.0;0.625;0.16;2.0;0.10099999999999999;13;49.0;0.9962;41699.0;0.57;11.0;5.0
;;0.22;43863.0;0.07200000000000001;11;41.0;0.9967;13210.0;0.55;43839.0;5.0
;0.49;0.19;44075.0;0.076;10;44.0;0.9957;14305.0;0.54;44021.0;5.0
44050.0;0.53;0.33;43923.0;0.08;24;144.0;0.99655;43893.0;0.6;43960.0;5.0
44050.0;0.34;0.37;2.0;0.08199999999999999;;58.0;;12479.0;0.59;43930.0;6.0
43928.0;0.53;0.26;2.0;0.10099999999999999;16;72.0;0.9957;42064.0;;43930.0;5.0
44049.0;0.61;0.04;43952.0;0.057;5;10.0;0.99525;15401.0;0.6;43960.0;5.0
43990.0;0.645;0.25;2.0;0.083;8;28.0;0.99815;46813.0;0.6;10.0;6.0
43929.0;0.635;0.36;2.0;;15;55.0;;11383.0;0.57;43931.0;4.0
44019.0;0.43;0.25;43984.0;;29;63.0;0.99615;13575.0;0.58;43961.0;6.0
44082.0;;0.5;2.0;0.337;27;81.0;0.9964;43924.0;Jan 61;43960.0;6.0
9.0;0.82;0.14;43984.0;0.08900000000000001;9;23.0;0.9984;14305.0;0.63;44052.0;5.0
44019.0;0.43;0.25;43984.0;0.073;29;63.0;0.99615;13575.0;0.58;43961.0;6.0
44080.0;0.52;0.25;43984.0;0.081;missing;37.0;0.99685;16862.0;0.5;11.0;
43866.0;0.48;0.04;43983.0;0.054000000000000006;19;106.0;0.9927;19784.0;;43873.0;7.0
8.0;0.38;0.06;44044.0;0.078;12;49.0;0.99625;13575.0;0.52;44083.0;6.0
43959.0;0.37;0.2;44045.0;0.09;18;58.0;0.998;;0.7;43991.0;6.0
44080.0;0.52;0.25;43984.0;0.081;10;37.0;0.99685;16862.0;0.5;11.0;5.0
43869.0;1;0.09;43892.0;0.065;7;37.0;0.99685;11749.0;0.55;9.0;6.0
43868.0;0.63;;44075.0;0.09699999999999999;14;38.0;0.99675;13575.0;0.58;9.0;6.0
43868.0;0.63;0.0;44075.0;0.09699999999999999;14;38.0;0.99675;13575.0;0.58;9.0;6.0
43868.0;0.645;0.0;44075.0;0.09699999999999999;15;39.0;0.99675;13575.0;0.58;;6.0
43868.0;0.63;0.0;44075.0;0.09699999999999999;14;38.0;0.99675;13575.0;0.58;9.0;6.0
43869.0;1;0.09;43892.0;0.065;7;37.0;0.99685;;0.55;9.0;6.0
44082.0;0.635;0.37;44013.0;0.263;5;62.0;0.9971;3.0;01. Sep;43899.0;5.0
12.0;0.38;0.56;43832.0;0.09300000000000001;;24.0;0.99925;41699.0;0.71;44084.0;6.0
44019.0;0.58;0.1;44044.0;0.102;28;109.0;;44046.0;0.49;44052.0;6.0
15.0;0.21;0.44;43863.0;0.075;10;24.0;100.005;44015.0;0.84;43870.0;7.0
15.0;0.21;0.44;43863.0;0.075;10;24.0;100.005;44015.0;0.84;43870.0;7.0
43897.0;0.66;;2.0;0.084;6;23.0;0.9983;22341.0;0.96;44083.0;6.0
43837.0;0.68;0.07;44075.0;0.075;16;51.0;0.99685;13940.0;0.52;43960.0;5.0
43869.0;0.6;0.17;43892.0;0.07200000000000001;11;73.0;0.9963;43864.0;0.45;43899.0;5.0
44019.0;0.53;0.06;44013.0;0.07400000000000001;9;39.0;0.99615;12844.0;0.48;44052.0;6.0
43897.0;0.66;0.0;2.0;0.084;6;23.0;0.9983;22341.0;0.96;44083.0;6.0
44053.0;0.32;0.44;43983.0;0.063;16;37.0;0.9985;44621.0;0.78;10.0;6.0
43837.0;0.6;0.0;44044.0;0.07400000000000001;16;34.0;0.9972;17227.0;0.7;44083.0;6.0
;0.35;0.48;43833.0;0.09;5;21.0;;42795.0;0.53;43961.0;5.0
44019.0;0.775;0.42;44075.0;0.092;8;86.0;0.9959;;0.59;43960.0;5.0
43837.0;0.6;0.0;44044.0;0.07400000000000001;16;;0.9972;;0.7;44083.0;6.0
8.0;0.57;0.23;43864.0;0.073;17;119.0;0.99675;46082.0;0.57;43899.0;5.0
43930.0;0.34;0.37;43863.0;;5;13.0;0.998;44621.0;0.62;43870.0;5.0
43988.0;0.695;0.0;43832.0;0.075;12;56.0;0.9968;17958.0;0.67;43870.0;5.0
44019.0;0.41;;44044.0;0.611;8;45.0;0.9968;43985.0;Jan 26;43930.0;5.0
10.0;0.31;0.47;43984.0;0.085;14;33.0;0.99965;13210.0;0.8;43961.0;7.0
44081.0;0.33;0.23;44013.0;0.077;18;45.0;0.99625;47178.0;0.65;43899.0;5.0
7.0;0.975;0.04;2.0;0.087;;67.0;0.99565;12844.0;0.6;43930.0;4.0
8.0;0.52;0.03;44013.0;0.07;10;35.0;0.99575;12479.0;;10.0;5.0
44081.0;0.37;0.23;44044.0;0.077;23;49.0;0.9963;46813.0;0.67;43899.0;5.0
43963.0;0.56;0.49;43923.0;0.064;5;27.0;0.9999;44046.0;0.87;44084.0;5.0
44054.0;0.26;0.52;44044.0;0.071;6;10.0;0.9968;43864.0;0.72;43871.0;7.0
43838.0;0.87;0.0;43893.0;0.096;26;61.0;100.025;43985.0;0.72;44052.0;4.0
44081.0;0.35;0.46;43985.0;0.078;15;37.0;0.9973;12844.0;0.86;44055.0;8.0
44080.0;0.54;0.04;3.0;0.077;7;27.0;0.9987;25263.0;0.91;43930.0;6.0
43962.0;0.18;0.51;4.0;0.10400000000000001;4;23.0;0.9996;46813.0;0.97;43840.0;6.0
44081.0;0.545;0.06;;;27;61.0;0.9965;13210.0;0.67;;6.0
43962.0;0.18;0.51;4.0;0.10400000000000001;4;23.0;0.9996;46813.0;0.97;43840.0;6.0
44084.0;0.37;0.58;4.0;0.071;17;65.0;0.99935;44621.0;0.78;43840.0;5.0
43929.0;0.715;0.2;;0.076;10;38.0;0.99735;11383.0;0.64;43930.0;5.0
43958.0;0.65;0.18;7.0;0.08800000000000001;27;94.0;0.99915;13940.0;0.77;43930.0;5.0
